,location_ch2,cell_id_serial,lys_id_serial,diameter_um,peak_gray,slice
0,cell,3,2,0.466093510389328,11715.0,13
1,cell,4,4,0.48334673047065735,8295.0,35
2,cell,3,5,0.4890051484107971,7968.0,23
3,cell,7,1,0.44486910104751587,6902.0,46
4,cell,3,3,0.8,5979.0,13
5,cell,3,6,0.3723607361316681,5074.0,25
6,cell,3,1,0.796,5125.0,12
7,cell,5,4,0.46936142444610596,4374.0,32
8,cell,4,3,0.4085010588169098,3974.0,35
9,cell,2,2,0.4482572674751282,4031.0,18
10,cell,5,1,0.5579555034637451,3938.0,25
11,cell,3,4,0.5470704436302185,3964.0,20
12,cell,2,4,0.5081342458724976,3619.0,28
13,cell,1,1,0.38803017139434814,2858.0,11
14,cell,7,3,0.5854772329330444,3265.0,49
15,cell,7,2,0.5696998834609985,3006.0,49
16,cell,2,1,0.792,2921.0,18
17,cell,6,3,0.544915497303009,2753.0,37
18,cell,4,2,0.33728331327438354,2148.0,33
19,cell,5,2,0.44527414441108704,2133.0,30
20,cell,7,4,0.4042648375034332,2359.0,52
21,cell,4,1,0.3453153967857361,1973.0,32
22,cell,2,3,0.5024455189704895,2140.0,20
23,cell,0,0,0.34547850489616394,2086.0,64
24,cell,1,2,0.5335786938667297,2116.0,14
25,cell,6,1,0.5956244468688965,2395.0,27
26,cell,6,2,0.6066387295722961,2284.0,29
27,cell,5,3,0.4052000939846039,1642.0,31
