id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice
1,2.21,13.434718,2.6784406,0.23304676,0.4660935,0.053017322,11715,13
2,5.9500003,11.479032,15.305375,0.24167337,0.48334673,0.05912552,8295,35
3,3.91,15.390405,1.4880226,0.24450257,0.48900515,0.061226428,7968,23
4,7.82,21.172436,7.0149636,0.22243455,0.4448691,0.04609941,6902,46
5,2.21,13.5622635,1.9556868,0.4,0.8,0.2680826,5979,13
6,4.25,14.540107,2.3383212,0.18618037,0.37236074,0.027032753,5074,25
7,2.04,14.114957,2.8485005,0.4,0.8,0.2680826,5125,12
8,5.44,21.21495,14.497592,0.23468071,0.46936142,0.054140322,4374,32
9,5.9500003,10.416158,17.856272,0.20425053,0.40850106,0.0356926,3974,35
10,3.06,23.085608,5.356881,0.22412863,0.44825727,0.047160745,4031,18
11,4.25,22.575428,11.819151,0.27897775,0.5579555,0.09094888,3938,25
12,3.4,16.580824,3.10359,0.27353522,0.54707044,0.08572912,3964,20
13,4.76,22.74549,5.9520903,0.25406712,0.50813425,0.06869641,3619,28
14,1.87,19.556868,28.314945,0.19401509,0.38803017,0.030591102,2858,11
15,8.33,23.850876,9.14071,0.29273862,0.58547723,0.10508208,3265,49
16,8.33,23.595787,9.523345,0.28484994,0.5696999,0.096813746,3006,49
17,3.06,22.958063,5.9095755,0.4,0.8,0.2680826,2921,18
18,6.29,22.15028,30.143085,0.27245775,0.5449155,0.08472003,2753,37
19,5.61,7.6101727,15.51795,0.16864166,0.3372833,0.020090152,2148,33
20,5.1,20.832315,12.32933,0.22263707,0.44527414,0.046225443,2133,30
21,8.84,24.190996,9.735919,0.20213242,0.40426484,0.034593664,2359,52
22,5.44,8.120352,14.795197,0.1726577,0.3453154,0.021559887,1973,32
23,3.4,22.362854,4.464068,0.25122276,0.5024455,0.06641491,2140,20
24,10.88,29.675423,16.580824,0.17273925,0.3454785,0.021590453,2086,64
25,2.38,15.092801,28.910152,0.26678935,0.5335787,0.07954156,2116,14
26,4.59,21.470041,29.887997,0.29781222,0.59562445,0.11064102,2395,27
27,4.93,21.342495,29.335302,0.30331936,0.6066387,0.11689314,2284,29
28,5.27,24.063452,13.732323,0.20260005,0.4052001,0.03483431,1642,31
29,4.25,20.832315,30.61075,0.22434944,0.44869888,0.047300268,1712,25
30,3.23,18.153875,29.717937,0.26313448,0.52626896,0.07631711,1708,19
31,5.27,20.322138,29.547878,0.27378595,0.5475719,0.08596509,1674,31
32,4.93,24.531115,6.717359,0.19417498,0.38834995,0.030666796,1521,29
33,0.85,18.153875,30.398176,0.21411909,0.42823818,0.04112016,1490,5
34,5.1,10.4586735,15.007771,0.2500028,0.5000056,0.06545205,1491,30
35,3.06,24.276026,4.8041873,0.17245491,0.34490982,0.021484008,1368,18
36,6.63,21.597586,30.355661,0.4,0.8,0.2680826,1862,39
37,7.9900002,20.959862,9.693404,0.18509232,0.37018463,0.026561573,1310,47
38,4.08,21.427525,29.547878,0.2558114,0.5116228,0.07012103,2030,24
39,10.37,31.163445,18.834114,0.16393076,0.32786152,0.018453127,1210,61
40,9.01,23.468243,8.5880165,0.21559237,0.43118474,0.041974816,1436,53
41,3.23,23.170637,6.5472994,0.30485588,0.60971177,0.11867859,1490,19
42,4.59,23.510757,13.944898,0.2050917,0.4101834,0.0361354,1281,27
43,5.61,19.556868,31.46105,0.20405748,0.40811497,0.035591494,1159,33
44,11.39,25.211355,16.750883,0.16925482,0.33850965,0.020310089,1093,67
45,6.29,18.153875,17.643696,0.21611026,0.43222052,0.042278033,1008,37
46,4.08,21.89519,5.5269413,0.15040068,0.30080137,0.01425076,1115,24
47,3.74,16.623339,4.0389185,0.34913367,0.69826734,0.17826407,1167,22
48,2.72,16.198189,2.1257465,0.34088236,0.6817647,0.16592133,1321,16
49,4.08,18.153875,29.080214,0.24090038,0.48180076,0.058560003,1186,24
50,2.72,15.135316,27.677221,0.20078444,0.4015689,0.033906173,975,16
51,4.25,15.135316,3.2736497,0.17680968,0.35361937,0.023152974,1098,25
52,5.27,14.582622,17.516151,0.1698058,0.3396116,0.02050908,841,31
53,5.9500003,20.662256,13.5622635,0.16190408,0.32380816,0.017777145,902,35
54,11.39,20.237108,29.250273,0.17466988,0.34933975,0.022322493,717,67
55,5.61,8.8005905,17.941301,0.2326385,0.465277,0.052739177,823,33
56,9.35,20.237108,23.765846,0.17278913,0.34557825,0.021609157,793,55
57,3.91,21.55507,10.798793,0.16579884,0.3315977,0.019091194,826,23
58,4.25,22.490398,4.974247,0.254823,0.509646,0.069311365,1116,25
59,10.54,31.588594,14.837711,0.17505358,0.35010716,0.022469925,695,62
60,3.74,15.858069,2.0407166,0.4,0.8,0.2680826,1560,22
61,0.68,18.28142,29.973026,0.3896402,0.7792804,0.2477878,967,4
62,9.18,30.185602,23.170637,0.15955852,0.31911704,0.017015653,678,54
63,6.12,8.162867,16.453278,0.30461246,0.6092249,0.11839452,829,36
64,2.72,18.53651,28.485004,0.30245268,0.60490537,0.115894,828,16
65,5.9500003,8.120352,16.240704,0.296381,0.592762,0.109053515,836,35
