,location_ch2,cell_id_serial,lys_id_serial,diameter_um,peak_gray,slice
0,cell,1,9,0.4138841927051544,5322.0,15
1,cell,1,7,0.3347002863883972,3035.0,14
2,cell,1,13,0.3751257359981537,2486.0,16
3,cell,1,12,0.3634328544139862,2130.0,15
4,cell,1,5,0.550000011920929,1969.0,12
5,cell,1,14,0.36931324005126953,1724.0,17
6,cell,1,3,0.5513750119507312,1895.0,11
7,cell,1,10,0.34154489636421204,1738.0,15
8,cell,1,11,0.36955127120018005,1332.0,15
9,cell,1,2,0.3490227460861206,1136.0,9
10,cell,1,6,0.31734511256217957,1067.0,13
11,cell,1,4,0.3197653889656067,854.0,12
12,cell,1,16,0.3635217547416687,776.0,19
13,cell,1,15,0.4885873794555664,589.0,19
14,cell,1,1,0.3366129398345947,627.0,9
15,cell,0,0,0.32191964983940125,539.0,0
16,cell,1,8,0.23539873957633972,570.0,14
