id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice
1,2.55,8.162867,7.567658,0.2069421,0.4138842,0.037122324,5322,15
2,2.38,7.6526875,7.950292,0.16735014,0.3347003,0.019632105,3035,14
3,2.72,9.268255,7.355083,0.18756287,0.37512574,0.02763944,2486,16
4,2.55,11.096397,7.992807,0.18171643,0.36343285,0.025134554,2130,15
5,2.04,11.734121,9.183226,0.275,0.55,0.08711375,1969,12
6,2.89,9.56586,9.735919,0.18465662,0.36931324,0.026374443,1724,17
7,1.87,11.351487,9.268255,0.275,0.55,0.08711375,1895,11
8,2.55,8.502986,7.0149636,0.17077245,0.3415449,0.020861331,1738,15
9,2.55,10.4586735,9.353285,0.18477564,0.36955127,0.02642547,1332,15
10,1.53,8.970651,9.31077,0.17451137,0.34902275,0.022261778,1136,9
11,2.21,7.1425085,8.630531,0.15867256,0.3173451,0.01673378,1067,13
12,2.04,8.332927,6.334725,0.1598827,0.3197654,0.017119575,854,12
13,3.23,13.179628,8.247897,0.18176088,0.36352175,0.025153004,776,19
14,3.23,12.541904,8.290412,0.24429369,0.48858738,0.06106964,589,19
15,1.53,8.843105,8.630531,0.16830647,0.33661294,0.019970598,627,9
16,0.0,18.45148,6.844904,0.16095982,0.32191965,0.017467916,539,0
17,2.38,11.606576,7.6526875,0.11769937,0.23539874,0.0068298476,570,14
