id,z_um,y_um,x_um,radius_um,diameter_um,volume_um3,peak_gray,slice,location_ch2,cell_id_ch2,cell_id_ch2_viz,lys_id_in_cell
1,2.55,8.162867,7.567658,0.2069420963525772,0.4138841927051544,0.037122322727701725,5322,15,cell,1,1,9
2,2.38,7.6526875,7.950292,0.1673501431941986,0.3347002863883972,0.019632105273157157,3035,14,cell,1,1,7
3,2.72,9.268255,7.355083,0.18756286799907684,0.3751257359981537,0.027639437726764776,2486,16,cell,1,1,13
4,2.55,11.096397,7.992807,0.1817164272069931,0.3634328544139862,0.025134553665448745,2130,15,cell,1,1,12
5,2.04,11.734121,9.183226,0.2750000059604645,0.550000011920929,0.0871137519545859,1969,12,cell,1,1,5
6,2.89,9.56586,9.735919,0.18465662002563477,0.36931324005126953,0.026374440480311994,1724,17,cell,1,1,14
7,1.87,11.351487,9.268255,0.2756875059753656,0.5513750119507312,0.08776873983824679,1895,11,cell,1,1,3
8,2.55,8.502986,7.0149636,0.17077244818210602,0.34154489636421204,0.02086133142289902,1738,15,cell,1,1,10
9,2.55,10.4586735,9.353285,0.18477563560009003,0.36955127120018005,0.026425470214730316,1332,15,cell,1,1,11
10,1.53,8.970651,9.31077,0.1745113730430603,0.3490227460861206,0.022261776377496777,1136,9,cell,1,1,2
11,2.21,7.1425085,8.630531,0.15867255628108978,0.31734511256217957,0.01673378037342441,1067,13,cell,1,1,6
12,2.04,8.332927,6.334725,0.15988269448280334,0.3197653889656067,0.017119575261472442,854,12,cell,1,1,4
13,3.23,13.179628,8.247897,0.18176087737083435,0.3635217547416687,0.02515300287818013,776,19,cell,1,1,16
14,3.23,12.541904,8.290412,0.2442936897277832,0.4885873794555664,0.061069639495855026,589,19,cell,1,1,15
15,1.53,8.843105,8.630531,0.16830646991729736,0.3366129398345947,0.01997059676397552,627,9,cell,1,1,1
16,0.0,18.45148,6.844904,0.16095982491970062,0.32191964983940125,0.017467915494726056,539,0,cell,0,0,0
17,2.38,11.606576,7.6526875,0.11769936978816986,0.23539873957633972,0.0068298477359766295,570,14,cell,1,1,8
